MatchingCost: 52511
SolvingTime: 1.09400
NumPersons: 2422
NumObjects: 1093
NumEdgesInTheMatching: 1093
633,43.1,26
538,71.1,28
78,75.1,30
282,87.1,17
866,89.1,23
378,94.1,22
1060,141.1,16
162,160.1,32
1,161.1,31
876,172.1,33
247,182.1,25
1132,216.1,13
917,220.1,19
990,240.1,28
354,276.1,30
369,290.1,14
472,290.2,15
825,300.1,28
923,302.1,29
434,307.1,20
371,313.1,24
1197,371.1,25
453,392.1,21
159,400.1,24
749,433.1,25
408,433.2,31
187,448.1,33
225,457.1,18
149,473.1,28
1212,499.1,21
948,523.1,30
361,537.1,34
101,539.1,32
310,551.1,29
259,563.1,26
1175,580.1,20
1028,609.1,32
575,615.1,15
601,656.1,17
1082,666.1,30
586,686.1,15
970,689.1,33
1103,694.1,29
8,706.1,22
1001,715.1,21
521,751.1,24
386,764.1,28
398,773.1,29
3,777.1,22
1267,779.1,32
517,786.1,30
526,796.1,34
324,822.1,19
20,833.1,27
255,903.1,21
924,904.1,20
682,910.1,33
1257,963.1,22
507,986.1,24
197,23.1,28
938,34.1,33
461,39.1,31
1304,41.1,27
92,48.1,27
29,49.1,26
254,50.1,26
554,53.1,29
1176,67.1,32
768,72.1,32
925,72.2,16
51,93.1,28
1062,97.1,26
105,102.1,31
582,105.1,22
652,115.1,34
909,120.1,34
252,122.1,27
606,126.1,32
797,129.1,26
1255,142.1,28
382,153.1,35
1302,156.1,31
872,163.1,27
147,163.2,27
1306,163.3,30
203,177.1,33
963,181.1,31
352,185.1,29
427,196.1,31
1213,197.1,35
1072,198.1,32
449,203.1,22
1123,204.1,21
332,205.1,24
577,211.1,32
550,211.2,30
590,211.3,32
580,218.1,23
1211,233.1,34
1226,245.1,30
1139,265.1,27
192,266.1,34
1205,272.1,27
795,280.1,31
820,280.2,33
529,280.3,32
839,295.1,30
491,296.1,34
613,301.1,32
286,308.1,34
374,327.1,35
589,330.1,23
1107,334.1,31
718,341.1,16
1280,342.1,33
115,343.1,34
767,348.1,23
844,357.1,30
1036,359.1,30
1114,359.2,35
1206,359.3,32
1094,361.1,35
886,364.1,24
61,370.1,28
1133,379.1,28
34,387.1,21
72,388.1,26
346,403.1,29
912,407.1,30
340,407.2,27
758,415.1,18
541,418.1,32
81,431.1,35
794,446.1,30
512,449.1,30
741,451.1,33
219,458.1,34
1229,477.1,22
691,477.2,22
441,482.1,33
490,494.1,29
407,500.1,16
342,502.1,31
175,505.1,33
69,516.1,31
206,524.1,24
353,528.1,29
591,528.2,32
908,531.1,34
26,532.1,27
982,535.1,19
377,548.1,25
66,559.1,35
100,560.1,31
117,561.1,20
931,562.1,20
157,562.2,27
405,566.1,22
1287,571.1,18
431,573.1,25
130,573.2,34
762,573.3,31
12,589.1,30
775,595.1,32
239,602.1,21
771,613.1,24
276,617.1,30
734,621.1,29
946,628.1,32
548,634.1,31
372,645.1,31
388,648.1,32
746,648.2,33
638,648.3,35
1268,650.1,33
86,650.2,29
756,650.3,34
1048,672.1,34
1222,673.1,28
604,677.1,35
