periodos,26,Recursos,1309,positions,1093,jobs,1000
pos,job,perStart,perToFill,ResAsig,ResType,ResRedy,ResStart,LedTime,Filled,Gap,AsigC,GapC,TotC,MS
56.1,56,1,26,1272,Q,1,1,0,26,0,32.320955,0.0,32.320955,68.679045
56.2,56,1,26,Gap,G,0,0,0,0,26,0.0,7421.640304000001,7421.640304000001,0
56.3,56,1,26,Gap,G,0,0,0,0,26,0.0,7421.640304000001,7421.640304000001,0
57.1,57,1,26,1049,Q,1,1,0,26,0,20.303991999999994,0.0,20.303991999999994,80.696008
58.1,58,6,21,Hire,H,0,10,9,17,4,142.87564399999997,1143.0051520000002,1285.8807960000001,0
59.1,59,1,26,1202,Q,1,1,0,26,0,26.401905999999997,0.0,26.401905999999997,74.598094
60.1,60,1,26,461,T,1,4,3,23,3,71.279178,855.350136,926.629314,63.278554
61.1,61,1,26,1216,Q,1,1,0,26,0,28.021141,0.0,28.021141,72.978859
62.1,62,3,24,347,Q,1,3,0,24,0,26.643148999999994,0.0,26.643148999999994,74.356851
63.1,63,1,26,166,Q,1,1,0,26,0,35.06965700000001,0.0,35.06965700000001,65.930343
65.1,65,1,26,Gap,G,0,0,0,0,26,0.0,7428.154031999999,7428.154031999999,0
66.1,66,7,20,910,Q,1,7,0,20,0,19.119466000000003,0.0,19.119466000000003,81.880534
67.1,67,16,11,353,Q,1,16,0,11,0,29.691284999999993,0.0,29.691284999999993,71.308715
68.1,68,6,21,1240,Q,1,6,0,21,0,25.648459000000003,0.0,25.648459000000003,75.351541
69.1,69,1,26,669,Q,1,1,0,26,0,21.389775,0.0,21.389775,79.610225
70.1,70,1,26,750,Q,1,1,0,26,0,21.965486,0.0,21.965486,79.034514
71.1,71,1,26,252,Q,1,1,0,26,0,18.286823,0.0,18.286823,82.713177
72.1,72,1,26,925,Q,1,1,0,26,0,16.278305000000003,0.0,16.278305000000003,84.721695
72.2,72,1,26,772,Q,1,1,0,26,0,16.837322999999998,0.0,16.837322999999998,84.162677
74.1,74,1,26,333,Q,1,1,0,26,0,33.968542,0.0,33.968542,67.031458
74.2,74,1,26,863,Q,1,1,0,26,0,34.242942,0.0,34.242942,66.757058
75.1,75,10,17,1107,Q,8,10,0,17,0,23.449319000000003,0.0,23.449319000000003,77.550681
76.1,76,1,26,922,Q,25,25,0,2,24,34.73634399999992,6816.059136000001,6850.795480000001,66.263656
77.1,77,1,26,1190,T,1,2,1,25,1,71.456278,285.825112,357.28139,63.34142
78.1,78,1,26,868,T,1,3,2,24,2,71.51493400000004,572.1194720000001,643.6344060000001,62.825267
79.1,79,1,26,577,Q,22,22,0,5,21,35.34671100000014,6000.482880000001,6035.8295910000015,65.653289
80.1,80,1,26,797,T,1,3,2,24,2,71.22480399999995,569.798432,641.023236,62.915983
81.1,81,1,26,1260,Q,1,1,0,26,0,16.245022000000006,0.0,16.245022000000006,84.754978
82.1,82,1,26,935,Q,1,1,0,26,0,17.083730000000003,0.0,17.083730000000003,83.91627
83.1,83,20,7,937,Q,11,20,0,7,0,27.742643,0.0,27.742643,73.257357
