periodos,26,Recursos,1309,positions,1093,jobs,1000
pos,job,perStart,perToFill,ResAsig,ResType,ResRedy,ResStart,LedTime,Filled,Gap,AsigC,GapC,TotC,MS
65.1,65,1,26,1115,Q,1,1,0,26,0,30.0,0.0,30.0,70.745009
66.1,66,7,20,314,Q,3,7,0,20,0,35.0,0.0,35.0,65.428005
67.1,67,16,11,1176,Q,13,16,0,11,0,32.0,0.0,32.0,68.284826
68.1,68,6,21,1129,Q,3,6,0,21,0,25.0,0.0,25.0,75.801497
69.1,69,1,26,1198,Q,1,1,0,26,0,24.0,0.0,24.0,76.109106
70.1,70,1,26,750,Q,1,1,0,26,0,21.0,0.0,21.0,79.034514
71.1,71,1,26,538,Q,1,1,0,26,0,28.0,0.0,28.0,72.856881
72.1,72,1,26,768,Q,1,1,0,26,0,32.0,0.0,32.0,68.924942
72.2,72,1,26,925,Q,1,1,0,26,0,16.0,0.0,16.0,84.721695
74.1,74,1,26,333,Q,1,1,0,26,0,33.0,0.0,33.0,67.031458
74.2,74,1,26,832,Q,1,1,0,26,0,28.0,0.0,28.0,72.140862
75.1,75,10,17,78,Q,8,10,0,17,0,30.0,0.0,30.0,70.533067
76.1,76,1,26,146,Q,1,1,0,26,0,33.0,0.0,33.0,67.262895
77.1,77,1,26,745,Q,1,1,0,26,0,33.0,0.0,33.0,67.634097
78.1,78,1,26,622,Q,1,1,0,26,0,34.0,0.0,34.0,66.800058
79.1,79,1,26,540,Q,1,1,0,26,0,35.0,0.0,35.0,65.28284
80.1,80,1,26,1024,Q,1,1,0,26,0,34.0,0.0,34.0,66.969772
81.1,81,1,26,280,Q,1,1,0,26,0,21.0,0.0,21.0,79.184942
82.1,82,1,26,845,Q,1,1,0,26,0,31.0,0.0,31.0,69.367585
83.1,83,20,7,1080,Q,19,20,0,7,0,33.0,0.0,33.0,67.240641
84.1,84,1,26,485,Q,1,1,0,26,0,32.0,0.0,32.0,68.678746
85.1,85,3,24,248,Q,1,3,0,24,0,17.0,0.0,17.0,83.148827
86.1,86,1,26,902,Q,1,1,0,26,0,33.0,0.0,33.0,67.704357
87.1,87,1,26,282,Q,1,1,0,26,0,17.0,0.0,17.0,83.779733
88.1,88,1,26,1150,Q,1,1,0,26,0,16.0,0.0,16.0,84.017721
89.1,89,1,26,866,Q,1,1,0,26,0,23.0,0.0,23.0,77.821935
90.1,90,1,26,275,Q,1,1,0,26,0,28.0,0.0,28.0,72.211333
91.1,91,1,26,174,Q,1,1,0,26,0,34.0,0.0,34.0,66.019258
92.1,92,1,26,514,Q,1,1,0,26,0,27.0,0.0,27.0,73.309832
93.1,93,1,26,51,Q,1,1,0,26,0,28.0,0.0,28.0,72.893078
94.1,94,1,26,378,Q,1,1,0,26,0,22.0,0.0,22.0,78.511495
95.1,95,1,26,445,Q,1,1,0,26,0,33.0,0.0,33.0,67.118403
96.1,96,16,11,565,Q,2,16,0,11,0,33.0,0.0,33.0,67.49772
97.1,97,2,25,1062,Q,1,2,0,25,0,26.0,0.0,26.0,74.284286
98.1,98,26,1,544,Q,25,26,0,1,0,28.0,0.0,28.0,72.68753
99.1,99,1,26,1235,Q,1,1,0,26,0,17.0,0.0,17.0,83.601931
99.2,99,1,26,1125,Q,1,1,0,26,0,24.0,0.0,24.0,76.392101
99.3,99,1,26,183,Q,1,1,0,26,0,34.0,0.0,34.0,66.415043
100.1,100,24,3,1292,Q,24,24,0,3,0,31.0,0.0,31.0,69.892271
101.1,101,1,26,1265,Q,1,1,0,26,0,30.0,0.0,30.0,70.48475
101.2,101,1,26,819,Q,1,1,0,26,0,31.0,0.0,31.0,69.046064
102.1,102,1,26,105,Q,1,1,0,26,0,31.0,0.0,31.0,69.304917
103.1,103,1,26,537,Q,1,1,0,26,0,32.0,0.0,32.0,68.24033
104.1,104,22,5,182,Q,21,22,0,5,0,34.0,0.0,34.0,66.493361
105.1,105,1,26,582,Q,1,1,0,26,0,22.0,0.0,22.0,78.335797
106.1,106,1,26,498,Q,1,1,0,26,0,29.0,0.0,29.0,71.317144
107.1,107,1,26,1247,Q,1,1,0,26,0,26.0,0.0,26.0,74.16679
107.2,107,1,26,1056,Q,1,1,0,26,0,35.0,0.0,35.0,65.329619
107.3,107,1,26,670,Q,1,1,0,26,0,22.0,0.0,22.0,78.32826
108.1,108,1,26,1246,Q,1,1,0,26,0,33.0,0.0,33.0,67.88499
109.1,109,1,26,785,Q,1,1,0,26,0,33.0,0.0,33.0,67.146145
110.1,110,1,26,616,Q,1,1,0,26,0,29.0,0.0,29.0,71.546454
111.1,111,1,26,344,Q,1,1,0,26,0,34.0,0.0,34.0,66.359806
112.1,112,1,26,404,Q,1,1,0,26,0,35.0,0.0,35.0,65.304956
113.1,113,1,26,614,Q,1,1,0,26,0,31.0,0.0,31.0,69.25264
114.1,114,9,18,477,Q,8,9,0,18,0,31.0,0.0,31.0,69.506444
115.1,115,1,26,652,Q,1,1,0,26,0,34.0,0.0,34.0,66.096697
116.1,116,1,26,328,Q,1,1,0,26,0,29.0,0.0,29.0,71.144316
117.1,117,1,26,1128,Q,1,1,0,26,0,25.0,0.0,25.0,75.08119
118.1,118,24,3,326,Q,21,24,0,3,0,22.0,0.0,22.0,78.263945
118.2,118,24,3,1029,Q,24,24,0,3,0,27.0,0.0,27.0,73.08796
118.3,118,24,3,246,Q,21,24,0,3,0,28.0,0.0,28.0,72.678056
119.1,119,1,26,402,Q,1,1,0,26,0,28.0,0.0,28.0,72.478444
120.1,120,1,26,909,Q,1,1,0,26,0,34.0,0.0,34.0,66.435512
121.1,121,1,26,773,Q,1,1,0,26,0,35.0,0.0,35.0,65.458366
122.1,122,1,26,252,Q,1,1,0,26,0,27.0,0.0,27.0,73.501439
123.1,123,1,26,389,Q,1,1,0,26,0,19.0,0.0,19.0,81.238643
124.1,124,1,26,939,Q,1,1,0,26,0,27.0,0.0,27.0,73.053675
125.1,125,1,26,294,Q,1,1,0,26,0,31.0,0.0,31.0,69.224621
126.1,126,1,26,606,Q,1,1,0,26,0,32.0,0.0,32.0,68.278604
127.1,127,1,26,28,Q,1,1,0,26,0,33.0,0.0,33.0,67.638232
128.1,128,1,26,415,Q,1,1,0,26,0,22.0,0.0,22.0,78.023622
129.1,129,5,22,797,Q,1,5,0,22,0,26.0,0.0,26.0,74.201237
130.1,130,1,26,410,Q,1,1,0,26,0,33.0,0.0,33.0,67.026862
131.1,131,1,26,603,Q,1,1,0,26,0,23.0,0.0,23.0,77.063005
132.1,132,1,26,556,Q,1,1,0,26,0,31.0,0.0,31.0,69.086666
133.1,133,1,26,300,Q,1,1,0,26,0,35.0,0.0,35.0,65.577291
134.1,134,1,26,957,Q,1,1,0,26,0,18.0,0.0,18.0,82.14328
135.1,135,16,11,744,Q,9,16,0,11,0,34.0,0.0,34.0,66.407025
136.1,136,1,26,163,Q,1,1,0,26,0,31.0,0.0,31.0,69.040419
137.1,137,1,26,224,Q,1,1,0,26,0,33.0,0.0,33.0,67.137737
138.1,138,1,26,568,Q,1,1,0,26,0,28.0,0.0,28.0,72.858844
139.1,139,1,26,98,Q,1,1,0,26,0,22.0,0.0,22.0,78.662897
140.1,140,1,26,10,Q,1,1,0,26,0,35.0,0.0,35.0,65.825419
141.1,141,1,26,1060,Q,1,1,0,26,0,16.0,0.0,16.0,84.096671
142.1,142,3,24,1255,Q,1,3,0,24,0,28.0,0.0,28.0,72.79452
143.1,143,1,26,1289,Q,1,1,0,26,0,32.0,0.0,32.0,68.208209
144.1,144,1,26,994,Q,1,1,0,26,0,29.0,0.0,29.0,71.733292
145.1,145,1,26,312,Q,1,1,0,26,0,33.0,0.0,33.0,67.548527
146.1,146,1,26,1278,Q,1,1,0,26,0,31.0,0.0,31.0,69.557189
147.1,147,1,26,1190,Q,1,1,0,26,0,35.0,0.0,35.0,65.265099
148.1,148,1,26,1005,Q,1,1,0,26,0,35.0,0.0,35.0,65.441347
149.1,149,9,18,488,Q,1,9,0,18,0,35.0,0.0,35.0,65.262156
150.1,150,1,26,1161,Q,1,1,0,26,0,35.0,0.0,35.0,65.55679
151.1,151,1,26,446,Q,1,1,0,26,0,34.0,0.0,34.0,66.267108
152.1,152,1,26,583,Q,1,1,0,26,0,29.0,0.0,29.0,71.284894
152.2,152,1,26,76,Q,1,1,0,26,0,30.0,0.0,30.0,70.994284
153.1,153,1,26,382,Q,1,1,0,26,0,35.0,0.0,35.0,65.320476
154.1,154,1,26,151,Q,1,1,0,26,0,35.0,0.0,35.0,65.660619
155.1,155,1,26,761,Q,1,1,0,26,0,20.0,0.0,20.0,80.532263
156.1,156,7,20,1302,Q,4,7,0,20,0,31.0,0.0,31.0,69.200348
157.1,157,1,26,359,Q,1,1,0,26,0,25.0,0.0,25.0,75.658482
158.1,158,1,26,572,Q,1,1,0,26,0,31.0,0.0,31.0,69.867712
159.1,159,1,26,30,Q,1,1,0,26,0,33.0,0.0,33.0,67.179145
160.1,160,1,26,162,Q,1,1,0,26,0,32.0,0.0,32.0,68.145446
161.1,161,1,26,1,Q,1,1,0,26,0,31.0,0.0,31.0,69.500225
162.1,162,1,26,313,Q,1,1,0,26,0,23.0,0.0,23.0,77.962991
163.1,163,16,11,872,Q,1,16,0,11,0,27.0,0.0,27.0,73.871884
163.2,163,16,11,147,Q,5,16,0,11,0,27.0,0.0,27.0,73.396126
163.3,163,16,11,1306,Q,1,16,0,11,0,30.0,0.0,30.0,70.352475
164.1,164,1,26,1182,Q,1,1,0,26,0,31.0,0.0,31.0,69.021803
165.1,165,1,26,435,Q,1,1,0,26,0,23.0,0.0,23.0,77.056232
165.2,165,1,26,1153,Q,1,1,0,26,0,15.0,0.0,15.0,85.525357
166.1,166,1,26,249,Q,1,1,0,26,0,22.0,0.0,22.0,78.470475
167.1,167,1,26,320,Q,1,1,0,26,0,35.0,0.0,35.0,65.535292
168.1,168,1,26,1178,Q,1,1,0,26,0,31.0,0.0,31.0,69.310246
169.1,169,20,7,102,Q,20,20,0,7,0,23.0,0.0,23.0,77.926728
170.1,170,19,8,1224,Q,6,19,0,8,0,34.0,0.0,34.0,66.436602
171.1,171,1,26,46,Q,1,1,0,26,0,31.0,0.0,31.0,69.498783
172.1,172,1,26,876,Q,1,1,0,26,0,33.0,0.0,33.0,67.730669
173.1,173,3,24,265,Q,1,3,0,24,0,32.0,0.0,32.0,68.454743
174.1,174,1,26,24,Q,1,1,0,26,0,30.0,0.0,30.0,70.490534
175.1,175,11,16,636,Q,8,11,0,16,0,34.0,0.0,34.0,66.784072
176.1,176,21,6,880,Q,10,21,0,6,0,33.0,0.0,33.0,67.027623
177.1,177,1,26,203,Q,1,1,0,26,0,33.0,0.0,33.0,67.308687
178.1,178,1,26,703,Q,1,1,0,26,0,34.0,0.0,34.0,66.95564
179.1,179,1,26,576,Q,1,1,0,26,0,32.0,0.0,32.0,68.159004
180.1,180,1,26,668,Q,1,1,0,26,0,35.0,0.0,35.0,65.889589
181.1,181,1,26,963,Q,1,1,0,26,0,31.0,0.0,31.0,69.775596
182.1,182,1,26,247,Q,1,1,0,26,0,25.0,0.0,25.0,75.132667
